run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep00-run000,0,0,long_out32_n8,long,8,32,117,122,119.25,954,1210,713.4873280000136,256,358.8010465688259,65.88047299999289,68.94532600000502,709.7202519999826,713.1070630000238,20.746879774193413,21.445300225807276
rep02-run001,2,1,long_out16_n8,long,8,16,117,122,119.25,954,1082,361.7177579999975,128,353.8670611797856,65.00345800000673,67.84289499998408,358.1235389999904,361.32818400000133,19.49554166666682,20.904915799998964
rep01-run002,1,2,long_out32_n4,long,4,32,117,118,117.25,469,597,943.5429659999954,128,135.6588990776289,288.63234799999304,290.059924000019,941.5291660000094,943.2713299999875,21.039354709676942,22.619843967741954
rep00-run003,0,3,short_out16_n2,short,2,16,43,44,43.5,87,119,851.1454409999999,32,37.59639476233769,44.361049000002595,64.03699700001653,850.1687060000052,850.9332510000149,52.40878059999924,53.77148013333416
rep01-run004,1,4,short_out16_n8,short,8,16,43,48,45.25,362,490,353.8280450000002,128,361.7576441686524,65.91476499997384,67.85022299999355,351.28331800001433,353.4620829999824,18.99295180000043,20.399530666666504
rep01-run005,1,5,short_out32_n8,short,8,32,43,48,45.25,362,618,680.2573710000104,256,376.3281530101878,64.7908040000118,66.91707400000269,677.4993080000229,679.9004840000009,19.74888354838765,20.420610193548512
rep01-run006,1,6,long_out16_n4,long,4,16,117,118,117.25,469,533,352.3937129999979,64,181.6150448745389,63.85566299999823,65.34864500000026,350.458304,351.4899449999973,19.055601333334,20.354429733333745
rep00-run007,0,7,long_out16_n1,long,1,16,118,118,118.0,118,134,318.196142000005,16,50.283450639699296,41.85619200001156,41.85619200001156,318.0234929999983,318.0234929999983,18.41115339999912,18.41115339999912
rep00-run008,0,8,long_out32_n1,long,1,32,118,118,118.0,118,150,631.6318869999975,32,50.66242008773082,41.256895000003624,41.256895000003624,631.4489819999949,631.4489819999949,19.038454419354558,19.038454419354558
rep02-run009,2,9,long_out32_n8,long,8,32,117,122,119.25,954,1210,688.1140259999938,256,372.0313644645899,68.85648299999048,71.65510299998346,684.6322950000001,687.7379619999999,19.84147399999958,20.52029070967735
