pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,async_run_order,server_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_async,estimated_peak_sequence_tokens_server,async_output_tokens_per_second,server_output_tokens_per_second,server_to_async_output_tokens_per_second_delta,server_to_async_output_tokens_per_second_ratio,async_p95_first_event_ms,server_p95_first_content_ms,server_to_async_p95_first_event_ms_delta,server_to_async_p95_first_event_ms_ratio,async_p95_latency_ms,server_p95_latency_ms,server_to_async_p95_latency_ms_delta,server_to_async_p95_latency_ms_ratio,async_p95_stream_tpot_ms,server_p95_stream_tpot_ms,server_to_async_p95_stream_tpot_ms_delta,server_to_async_p95_stream_tpot_ms_ratio,async_batch_wall_ms,server_batch_wall_ms,server_to_async_batch_wall_ms_delta,server_to_async_batch_wall_ms_ratio
short_out32_n1_rep00,short_out32_n1,short,1,32,0,10,10,44.0,76,76,35.415314883003994,26.007525735954367,-9.407789147049627,0.7343581674163095,56.45284000001993,73.60195999996222,17.149119999942286,1.3037778081658289,903.3160550000048,1229.467843000009,326.1517880000042,1.3610605459680472,27.318168225805962,37.28599622580796,9.967828000002001,1.3648790767232315,903.5638990000052,1230.4130859999987,326.84918699999344,1.3617333399018319
short_out32_n1_rep01,short_out32_n1,short,1,32,1,7,7,44.0,76,76,26.99253938442412,38.304078039118835,11.311538654694715,1.4190616708416093,65.67783400001304,62.280450999992354,-3.3973830000206817,0.9482719999563322,1185.2640030000146,834.5177129999684,-350.7462900000462,0.7040774974079409,36.11568287096779,24.910879419354064,-11.204803451613724,0.6897524133311931,1185.5127649999986,835.4201860000217,-350.0925789999769,0.704691008535891
short_out32_n1_rep02,short_out32_n1,short,1,32,2,9,9,44.0,76,76,37.87624858298922,36.591964860315294,-1.2842837226739263,0.9660926366596211,56.94265199997517,60.60278100000005,3.660129000024881,1.0642774593643176,844.6221349999803,873.5127340000304,28.890599000050088,1.0342053538533544,25.409015580645328,26.222901709678396,0.8138861290330688,1.0320313916314423,844.8566369999924,874.508929000001,29.65229200000863,1.035097424463991
short_out32_n2_rep00,short_out32_n2,short,2,32,0,11,11,43.5,151,151,66.05317475631242,68.83440453846208,2.7812297821496657,1.0421059213642698,100.01435600000264,100.36877400000321,0.3544180000005781,1.003543671270558,968.6234180000213,928.8203930000236,-39.80302499999766,0.9589076371060886,28.911066483871192,27.631034870967508,-1.2800316129036844,0.9557252025407715,968.9163349999887,929.7676129999672,-39.14872200002151,0.9595953535038483
short_out32_n2_rep01,short_out32_n2,short,2,32,1,2,2,43.5,151,151,76.5967977645897,70.28632174277791,-6.31047602181178,0.9176143624018565,82.43277700000817,99.03429299998834,16.601515999980165,1.2013945981703191,835.2381649999927,909.5605830000295,74.3224180000368,1.0889835032862003,25.098312903225867,27.006035322582164,1.907722419356297,1.076009986277249,835.5440680000186,910.561236000035,75.01716800001645,1.0897824194713985
short_out32_n2_rep02,short_out32_n2,short,2,32,2,0,0,43.5,151,151,41.48136444257987,65.92170314718946,24.440338704609594,1.589188399008448,77.66176699999505,92.35910900000022,14.697342000005165,1.1892481019651033,1542.5728099999958,969.6559500000035,-572.9168599999923,0.6285965522755494,47.98727780645102,29.132525354838428,-18.85475245161259,0.6070885177596402,1542.8614960000004,970.8487030000015,-572.012792999999,0.6292520135585788
short_out32_n4_rep00,short_out32_n4,short,4,32,0,1,1,43.25,301,301,149.98345875788056,128.7597349702969,-21.22372378758365,0.858492903395132,83.80850100002135,117.97574600001326,34.16724499999191,1.4076823304593313,853.0937159999894,993.144717000007,140.05100100001755,1.1641683655304516,25.67609780645112,29.071488806451843,3.3953910000007212,1.1322393700785651,853.4274449999941,994.0995919999978,140.67214700000363,1.1648319934215434
short_out32_n4_rep01,short_out32_n4,short,4,32,1,3,3,43.25,301,301,121.61291326653273,142.72544120405607,21.11252793752334,1.1736043267975342,89.28008500001283,103.89659199995549,14.616506999942658,1.1637152003152837,1052.079789000004,895.8640719999948,-156.21571700000914,0.851517234117299,31.509227193548522,26.38432729032326,-5.124899903225263,0.8373524088120263,1052.5198070000101,896.8267950000381,-155.693011999972,0.852075931526892
short_out32_n4_rep02,short_out32_n4,short,4,32,2,4,4,43.25,301,301,128.5164395854969,149.17196280839775,20.655523222900854,1.1607228093893742,166.09456200001205,96.37543600001663,-69.71912599999541,0.5802443791026081,994.8467220000055,857.1499050000284,-137.69681699997705,0.8615899173662088,28.281586548387388,25.381383774194706,-2.9002027741926817,0.8974526139390843,995.9815290000051,858.0700930000376,-137.91143599996758,0.8615321348996956
short_out32_n8_rep00,short_out32_n8,short,8,32,0,6,6,45.25,618,618,169.98191909630498,279.3340094976796,109.3520904013746,1.6433160125661368,130.10486100000662,113.59434499996723,-16.510516000039388,0.873098392534015,1505.5467589999978,915.3316499999846,-590.2151090000132,0.6079729138455712,45.49949038709744,26.767645580645745,-18.731844806451694,0.5883064920708739,1506.0425329999987,916.4655619999849,-589.5769710000138,0.6085256836501215
