pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,async_run_order,server_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_async,estimated_peak_sequence_tokens_server,async_output_tokens_per_second,server_output_tokens_per_second,server_to_async_output_tokens_per_second_delta,server_to_async_output_tokens_per_second_ratio,async_p95_first_event_ms,server_p95_first_content_ms,server_to_async_p95_first_event_ms_delta,server_to_async_p95_first_event_ms_ratio,async_p95_latency_ms,server_p95_latency_ms,server_to_async_p95_latency_ms_delta,server_to_async_p95_latency_ms_ratio,async_p95_stream_tpot_ms,server_p95_stream_tpot_ms,server_to_async_p95_stream_tpot_ms_delta,server_to_async_p95_stream_tpot_ms_ratio,async_batch_wall_ms,server_batch_wall_ms,server_to_async_batch_wall_ms_delta,server_to_async_batch_wall_ms_ratio
long_out32_n1_rep00,long_out32_n1,long,1,32,0,10,10,118.0,150,150,53.16228969131201,51.49431878628972,-1.667970905022294,0.9686249235180162,39.553382999997666,46.92046799999616,7.367084999998497,1.1862567608944836,601.7605019999905,620.5821739999919,18.8216720000014,1.0312776793050498,18.135713516128803,18.50521632258051,0.3695028064517061,1.0203743186681402,601.930431999989,621.4277760000186,19.49734400002967,1.0323913578106483
long_out32_n1_rep01,long_out32_n1,long,1,32,1,7,7,118.0,150,150,54.02871321858336,49.96917612332427,-4.0595370952590955,0.9248633392611911,39.00754699998288,50.4902880000202,11.482741000037322,1.2943722915989144,592.1031489999962,639.4786200000055,47.375471000009384,1.0800121922675499,17.841793612903654,18.999623612902752,1.1578299999990982,1.0648942603596605,592.2776630000044,640.3947889999984,48.11712599999396,1.0812408250486285
long_out32_n1_rep02,long_out32_n1,long,1,32,2,9,9,118.0,150,150,54.74764222306867,53.06086552356552,-1.6867766995031488,0.969189966343566,37.7458319999846,46.28269099998761,8.536859000003005,1.22616693149078,584.3237420000094,602.2551769999893,17.931434999979956,1.0306875002864075,17.631545483871765,17.9345963225807,0.3030508387089341,1.0171879906379249,584.5000570000138,603.0810029999998,18.580945999985943,1.0317894682429185
long_out32_n2_rep00,long_out32_n2,long,2,32,0,11,11,117.5,299,299,93.03788331651657,94.77458110964226,1.7366977931256855,1.0186665660397434,63.16789799998901,71.00030199998741,7.832403999998405,1.123993424634769,687.6676610000061,674.1497909999907,-13.517870000015364,0.9803424375368217,20.76349606451616,20.07542935483882,-0.6880667096773401,0.9668617121346336,687.8918319999912,675.2865509999992,-12.605280999991919,0.981675489642982
long_out32_n2_rep01,long_out32_n2,long,2,32,1,2,2,117.5,299,299,100.30767121221864,98.18443283884402,-2.123238373374619,0.9788327418260709,60.542671999996855,70.94915899998,10.406486999983144,1.1718868139811154,637.8228110000066,650.9758089999877,13.152997999981153,1.020621711505362,19.18631170967765,19.312343322580304,0.1260316129026542,1.0065688296327993,638.0369439999924,651.8344929999955,13.797549000003073,1.0216250001347935
long_out32_n2_rep02,long_out32_n2,long,2,32,2,0,0,117.5,299,299,92.18287930392118,56.191207468870175,-35.99167183505101,0.6095622950072028,63.32371799999237,73.08540400001107,9.761686000018699,1.1541552882289678,694.037494000014,1138.0671029999974,444.02960899998334,1.6397775521331912,20.971522483871432,34.96976845161267,13.99824596774124,1.6674883036511474,694.2720869999732,1138.9682280000102,444.69614100003696,1.6405214170738425
long_out32_n4_rep00,long_out32_n4,long,4,32,0,1,1,117.25,597,597,197.97296226336954,158.72973986001708,-39.24322240335246,0.8017748385704003,67.57240100000672,214.4598919999794,146.88749099997267,3.1737793659271936,646.2540149999825,804.6926650000046,158.4386500000221,1.245164666404473,19.27574477419343,19.616092193548557,0.34034741935512614,1.0176567714162095,646.5529360000062,806.4021279999736,159.8491919999674,1.2472329535596849
long_out32_n4_rep01,long_out32_n4,long,4,32,1,3,3,117.25,597,597,199.5852680500265,183.3251242347832,-16.26014381524331,0.9185303405701885,61.193037000009554,77.73089700000924,16.537859999999682,1.2702572189707972,640.9799749999934,697.3723939999843,56.39241899999092,1.0879784411361548,19.29401474193575,20.651232129032156,1.357217387096405,1.0703439592666257,641.3299000000166,698.2130819999952,56.88318199997866,1.0886956650547202
long_out32_n4_rep02,long_out32_n4,long,4,32,2,4,4,117.25,597,597,199.35782173171353,179.46695062825162,-19.890871103461905,0.9002252786939551,61.08109999999556,80.84129399998119,19.76019399998563,1.3235075006833057,641.7811379999989,712.247973000018,70.46683500001905,1.1097988563821257,19.316518354839314,21.051072064516752,1.7345537096774386,1.0897963948685858,642.0615899999973,713.2232399999907,71.16164999999341,1.110833058865885
long_out32_n8_rep00,long_out32_n8,long,8,32,0,6,6,119.25,1210,1210,393.4206675783812,353.5444098326467,-39.876257745734506,0.8986421888021682,62.354483999996546,94.68589899998392,32.33141499998737,1.5185098637010477,650.3056689999767,723.1282139999848,72.82254500000818,1.111982023948819,19.574909612902413,20.998559580644475,1.4236499677420618,1.0727283035219581,650.7029779999982,724.095736999999,73.39275900000075,1.1127899540671857
