pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,async_run_order,server_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_async,estimated_peak_sequence_tokens_server,async_output_tokens_per_second,server_output_tokens_per_second,server_to_async_output_tokens_per_second_delta,server_to_async_output_tokens_per_second_ratio,async_p95_first_event_ms,server_p95_first_content_ms,server_to_async_p95_first_event_ms_delta,server_to_async_p95_first_event_ms_ratio,async_p95_latency_ms,server_p95_latency_ms,server_to_async_p95_latency_ms_delta,server_to_async_p95_latency_ms_ratio,async_p95_stream_tpot_ms,server_p95_stream_tpot_ms,server_to_async_p95_stream_tpot_ms_delta,server_to_async_p95_stream_tpot_ms_ratio,async_batch_wall_ms,server_batch_wall_ms,server_to_async_batch_wall_ms_delta,server_to_async_batch_wall_ms_ratio
short_out32_n1_rep00,short_out32_n1,short,1,32,0,10,10,44.0,76,76,48.35863245414388,43.65455766541926,-4.704074788724618,0.9027252312565857,41.9599660000074,69.67961500001252,27.71964900000512,1.6606213408275934,661.5394450000167,732.1139260000109,70.5744809999942,1.1066821964032583,19.986434806451914,21.36884874193543,1.382413935483516,1.0691676103752759,661.7225999999903,733.027700000008,71.30510000001777,1.1077567850939636
short_out32_n1_rep01,short_out32_n1,short,1,32,1,7,7,44.0,76,76,49.02396194897381,45.950322411443246,-3.0736395375305676,0.9373033223889627,45.82719100000077,52.190713000015876,6.363522000015109,1.1388590891380403,652.5509010000121,695.4986450000149,42.947744000002785,1.0658151631300896,19.571732580645527,20.751868774193518,1.180136193547991,1.0602979929694638,652.7420209999946,696.4042539999866,43.66223299999206,1.0668904890374638
short_out32_n1_rep02,short_out32_n1,short,1,32,2,9,9,44.0,76,76,49.93031763878483,44.10854823154741,-5.821769407237419,0.8834021155372104,42.370560999984264,59.543433000015966,17.172872000031703,1.4053019736990993,640.7147219999842,724.5938140000021,83.87909200001786,1.130914881646843,19.301424548387097,21.453238096773745,2.1518135483866487,1.111484701193543,640.8931789999883,725.482956999997,84.58977800000866,1.13198732764171
short_out32_n2_rep00,short_out32_n2,short,2,32,0,11,11,43.5,151,151,95.07857715527263,80.13250831773973,-14.946068837532891,0.8428029816524862,64.5135800000105,101.68881800001373,37.17523800000322,1.5762389562011156,672.9166460000044,797.499576000007,124.58293000000253,1.185138725190641,20.262973451613032,23.175475322580773,2.9125018709677413,1.1437351669004872,673.1274480000025,798.677108000021,125.54966000001855,1.1865169224239065
short_out32_n2_rep01,short_out32_n2,short,2,32,1,2,2,43.5,151,151,85.53845111757327,81.77766865002238,-3.7607824675508965,0.9560340125590809,64.47560699999144,82.10397400000602,17.628367000014578,1.2734114158865835,747.9797550000171,781.5154570000118,33.53570199999467,1.0448350396863266,22.685802290322588,23.310185322581066,0.6243830322584785,1.0275230747525659,748.2015300000171,782.609739999998,34.408209999980954,1.0459878904551025
short_out32_n2_rep02,short_out32_n2,short,2,32,2,0,0,43.5,151,151,83.69786160555567,48.7215615271436,-34.97630007841207,0.5821123812786821,76.04796000001102,91.06981600001518,15.021856000004163,1.1975313473234783,764.4173460000161,1312.6061979999974,548.1888519999814,1.7171329312037482,22.838304387096652,40.40678367741913,17.568479290322475,1.7692549758750233,764.6551390000127,1313.5867979999887,548.931658999976,1.717881344154501
short_out32_n4_rep00,short_out32_n4,short,4,32,0,1,1,43.25,301,301,181.8179201966549,163.09605194635466,-18.721868250300247,0.8970295764573117,66.87239100000397,95.68679100001987,28.814400000015894,1.4308863429156313,703.7144269999942,783.7053899999944,79.99096300000019,1.1136696363338887,21.177879161290356,22.80440664516127,1.6265274838709125,1.0768031336605195,704.0010130000098,784.813602000014,80.81258900000421,1.1147904442006862
short_out32_n4_rep01,short_out32_n4,short,4,32,1,3,3,43.25,301,301,186.59857925532313,168.52121543335517,-18.077363821967964,0.9031216427578869,66.46726700000727,114.89917299999775,48.43190599999048,1.728658002441791,685.6998739999938,758.5295979999955,72.82972400000176,1.1062122464383046,20.606879193548462,22.050351225806985,1.4434720322585228,1.070048065925016,685.964494000018,759.5482840000045,73.5837899999865,1.1072705521110902
short_out32_n4_rep02,short_out32_n4,short,4,32,2,4,4,43.25,301,301,189.69470980964203,171.07213156858285,-18.622578241059188,0.9018286895836638,64.02388700001893,94.86120200000414,30.83731499998521,1.481653277314701,674.3604150000237,747.0778189999976,72.71740399997384,1.1078316615010257,20.312091677419815,21.96812170967724,1.6560300322574264,1.08152927126153,674.7684219999996,748.2223949999991,73.45397299999945,1.1088580475984389
short_out32_n8_rep00,short_out32_n8,short,8,32,0,6,6,45.25,618,618,344.4715852171045,322.94604013071836,-21.52554508638616,0.937511405845508,93.9341469999988,96.49022899998272,2.556081999983917,1.0272114250420983,741.9652979999967,791.7305819999854,49.7652839999887,1.0670722527510834,21.92712390322618,23.19763512903247,1.2705112258062883,1.0579424475099242,743.1672480000202,792.7020869999808,49.534838999960584,1.066653689506994
short_out32_n8_rep01,short_out32_n8,short,8,32,1,8,8,45.25,618,618,371.846990802442,330.6602235593297,-41.186767243112286,0.8892373254003436,67.06945199999836,91.7183580000085,24.64890600001013,1.3675131563623142,688.0851889999917,773.1096640000032,85.02447500001153,1.123566785565577,20.68430212903279,22.701488032257913,2.0171859032251227,1.097522550707368,688.4552150000047,774.2086339999901,85.75341899998534,1.124559182836584
short_out32_n8_rep02,short_out32_n8,short,8,32,2,5,5,45.25,618,618,352.69200265028246,325.90431062428945,-26.78769202599301,0.9240479176598887,67.51941999999644,109.04492800000298,41.52550800000654,1.6150157687967215,725.4144769999868,784.3510860000151,58.936609000028284,1.0812454270884773,21.879407548386926,22.553856193548157,0.674448645161231,1.0308257270526942,725.8457750000105,785.5066399999941,59.66086499998369,1.0821949607683297
