pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,async_run_order,server_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_async,estimated_peak_sequence_tokens_server,async_output_tokens_per_second,server_output_tokens_per_second,server_to_async_output_tokens_per_second_delta,server_to_async_output_tokens_per_second_ratio,async_p95_first_event_ms,server_p95_first_content_ms,server_to_async_p95_first_event_ms_delta,server_to_async_p95_first_event_ms_ratio,async_p95_latency_ms,server_p95_latency_ms,server_to_async_p95_latency_ms_delta,server_to_async_p95_latency_ms_ratio,async_p95_stream_tpot_ms,server_p95_stream_tpot_ms,server_to_async_p95_stream_tpot_ms_delta,server_to_async_p95_stream_tpot_ms_ratio,async_batch_wall_ms,server_batch_wall_ms,server_to_async_batch_wall_ms_delta,server_to_async_batch_wall_ms_ratio
short_out32_n1_rep00,short_out32_n1,short,1,32,0,10,10,44.0,76,76,50.37360457500303,48.2754559620962,-2.098148612906826,0.9583482534035693,41.51145600002337,49.65720499998838,8.145748999965008,1.1962289397885832,635.070877000004,662.0688040000005,26.99792699999648,1.0425116754330341,19.14707809677357,19.75521287096813,0.6081347741945606,1.0317612311978315,635.253328999994,662.8627190000032,27.60939000000917,1.043462015450547
short_out32_n1_rep01,short_out32_n1,short,1,32,1,7,7,44.0,76,76,47.59690280587315,47.36389710713728,-0.23300569873587307,0.9951046037662115,47.060855000012225,50.882122000018626,3.821267000006401,1.0811984185158856,672.1196169999928,674.8223670000186,2.702750000025844,1.0040212336192322,20.163185870967116,20.127104677419354,-0.03608119354776207,0.9982105410435305,672.3126530000059,675.6200810000053,3.3074279999993905,1.0049194790329186
short_out32_n1_rep02,short_out32_n1,short,1,32,2,9,9,44.0,76,76,47.26327235176863,50.186445153064035,2.923172801295408,1.061848717954588,56.01085200001421,47.77413700000466,-8.236715000009553,0.852944300864992,676.8577400000027,636.820618999991,-40.037121000011666,0.9408485437427199,20.02731896774156,19.0014994193544,-1.0258195483871617,0.9487789878395869,677.0584939999935,637.6223680000237,-39.43612599996982,0.9417537386363988
short_out32_n2_rep00,short_out32_n2,short,2,32,0,11,11,43.5,151,151,96.6939682589638,86.06281437048486,-10.631153888478948,0.8900535981726718,64.00142000001097,78.13421099999118,14.132790999980216,1.2208199599317922,661.6464810000195,742.8227199999924,81.17623899997284,1.1226882350787724,19.911468580645423,22.084836129031995,2.1733675483865724,1.1091515444771942,661.8820300000152,743.6428899999896,81.7608599999744,1.1235278437759861
short_out32_n2_rep01,short_out32_n2,short,2,32,1,2,2,43.5,151,151,88.71348901408592,95.24255661487865,6.529067600792729,1.073597236151495,72.5260910000145,72.73837899998625,0.21228799997174974,1.002927056967288,721.0723489999964,671.0832819999837,-49.98906700001271,0.9306739926037395,21.290899516129098,19.921233000000104,-1.3696665161289943,0.9356689220626215,721.42354799999,671.968521999986,-49.455026000003954,0.9314480014727705
short_out32_n2_rep02,short_out32_n2,short,2,32,2,0,0,43.5,151,151,43.98991936630519,83.7083313986661,39.718412032360916,1.9028980412904302,68.76177000000894,88.75128500000073,19.989514999991798,1.2907068128116714,1454.6018700000047,762.867118999992,-691.7347510000127,0.5244508031603105,45.367534838709204,22.443332774192793,-22.92420206451641,0.4947002929293689,1454.8787750000258,764.5595000000185,-690.3192750000073,0.525514230558491
short_out32_n4_rep00,short_out32_n4,short,4,32,0,1,1,43.25,301,301,179.084703620225,184.5502296004543,5.465525980229273,1.0305192228579148,70.57862499999601,94.42311899999822,23.844494000002214,1.3378429942493717,714.4527949999997,692.6412789999858,-21.811516000013853,0.9694710187255774,21.448714838709844,19.957853741936283,-1.4908610967735605,0.9304918216319931,714.74557800002,693.5781130000009,-21.167465000019092,0.9703846156568757
short_out32_n4_rep01,short_out32_n4,short,4,32,1,3,3,43.25,301,301,173.8434886039892,192.21558275060806,18.372094146618878,1.1056818077809634,68.0478149999999,76.4010040000187,8.353189000018801,1.1227546982958794,735.9911240000088,665.0147719999779,-70.97635200003083,0.9035635761280866,22.19872954838725,19.613115612902593,-2.5856139354846555,0.8835242381845,736.2944740000046,665.9189549999951,-70.37551900000949,0.9044193301931408
short_out32_n4_rep02,short_out32_n4,short,4,32,2,4,4,43.25,301,301,173.11184188893048,187.39297591862936,14.281134029698876,1.0824965748955622,70.64363500001036,82.63711300000409,11.993477999993729,1.1697743611295195,738.2952469999964,682.2219889999985,-56.07325799999785,0.9240503603025388,22.252419419354585,20.026583999999325,-2.22583541935526,0.8999733297576045,739.406377999984,683.0565520000107,-56.34982599997329,0.9237904518048741
short_out32_n8_rep00,short_out32_n8,short,8,32,0,6,6,45.25,618,618,333.1023307704884,365.66556286754366,32.56323209705528,1.0977574429507422,71.78765700001577,90.76593199998229,18.978274999966516,1.2643668256224374,768.1160870000099,698.8891350000017,-69.22695200000817,0.9098743625193632,23.090526451613318,20.30436425806395,-2.7861621935493694,0.8793374330642556,768.5325989999967,700.0932710000143,-68.43932799998242,0.9109480481517184
short_out32_n8_rep01,short_out32_n8,short,8,32,1,8,8,45.25,618,618,321.3257978735105,359.4596987665635,38.13390089305301,1.1186767484759017,70.05605599999853,93.30790499998898,23.251848999990443,1.33190348311916,796.3243810000051,711.16600900001,-85.1583719999951,0.8930606998456392,24.151406870967755,20.652395451613135,-3.49901141935462,0.8551218387380671,796.6991810000081,712.1799770000052,-84.5192040000029,0.8939132786682229
short_out32_n8_rep02,short_out32_n8,short,8,32,2,5,5,45.25,618,618,344.08131443599854,299.3413874423293,-44.73992699366926,0.8699728084130207,85.0994349999894,231.0920440000075,145.9926090000181,2.715553211370161,743.5991350000108,854.3295059999991,110.73037099998828,1.1489113768266912,22.12160167741951,20.83329606451633,-1.28830561290318,0.9417625526537615,744.0101779999964,855.2108419999911,111.20066399999473,1.1494612134190392
