run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_content_ms,p95_first_content_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep02-run000,2,0,short_out32_n2,short,2,32,43,44,43.5,87,151,1163.5096219999923,64,55.005991175206994,54.3687420000083,75.68763899999453,1162.1554390000028,1162.658324000006,35.047348387097045,35.7512768387096
rep00-run001,0,1,short_out32_n4,short,4,32,43,44,43.25,173,301,697.5894200000141,128,183.48902137878957,91.85340900000938,92.00614599998858,695.2505789999748,695.7571069999915,19.459497838709233,20.17845061290348
rep01-run002,1,2,short_out32_n2,short,2,32,43,44,43.5,87,151,688.9255680000019,64,92.89827954244227,53.86397899999906,74.54895399999373,687.753186000009,687.936499999978,19.78078167741985,20.4539522903219
rep01-run003,1,3,short_out32_n4,short,4,32,43,44,43.25,173,301,669.6372590000124,128,191.14826464576643,77.15316799999528,78.31442000002653,667.8231660000051,668.3651790000056,19.033895451612228,19.660666935483423
rep02-run004,2,4,short_out32_n4,short,4,32,43,44,43.25,173,301,717.1092549999969,128,178.4944192360208,77.64794700000266,78.51534400001015,715.1438429999928,716.0695749999775,20.550684451613446,21.246268419354642
rep02-run005,2,5,short_out32_n8,short,8,32,43,48,45.25,362,618,871.0409299999924,256,293.9012291879352,226.06494400000088,226.73217400000567,868.5610660000123,869.4225280000012,20.722015516128984,21.426530838708906
rep00-run006,0,6,short_out32_n8,short,8,32,43,48,45.25,362,618,733.4853620000104,256,349.01855342001545,95.76825399997801,97.00631800001247,731.4009240000132,732.4743470000215,20.501620999999474,21.2962091935477
rep01-run007,1,7,short_out32_n1,short,1,32,44,44,44.0,44,76,664.3990640000084,32,48.16382462573667,50.060544999979584,50.060544999979584,663.5125269999946,663.5125269999946,19.78877361290371,19.78877361290371
rep01-run008,1,8,short_out32_n8,short,8,32,43,48,45.25,362,618,711.9572930000118,256,359.572129560299,87.4616370000183,88.3984289999944,709.2691570000227,710.9779290000233,20.05395093548332,20.774526129033134
rep02-run009,2,9,short_out32_n1,short,1,32,44,44,44.0,44,76,691.1336119999874,32,46.300743364801924,51.58620800000335,51.58620800000335,690.3011040000138,690.3011040000138,20.60370632258098,20.60370632258098
rep00-run010,0,10,short_out32_n1,short,1,32,44,44,44.0,44,76,647.6227349999988,32,49.41148336924901,51.74468999999249,51.74468999999249,646.7877629999919,646.7877629999919,19.194937838709656,19.194937838709656
rep00-run011,0,11,short_out32_n2,short,2,32,43,44,43.5,87,151,660.0960449999889,64,96.95558772814807,51.725712999996176,71.54905299998404,658.8714410000023,659.0416079999954,18.945883483871555,19.59083532258062
