run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep02-run000,2,0,shared_prefix_out32_n2,shared_prefix,2,32,226,227,226.5,453,517,1354.8545570000101,64,47.23754270843075,48.182977000010396,67.73499199999833,1353.3776149999994,1354.6205549999968,41.47234267741939,42.143147677418916
rep00-run001,0,1,shared_prefix_out32_n4,shared_prefix,4,32,225,228,226.5,906,1034,702.6566349999825,128,182.1657885575978,68.046092000003,70.23582200000078,699.8982269999772,702.3755090000066,20.34860822580563,21.039462516128996
rep01-run002,1,2,shared_prefix_out32_n2,shared_prefix,2,32,226,227,226.5,453,517,692.0707310000012,64,92.47609692657251,47.29193500000406,66.75463199999854,690.4895679999754,691.8601790000025,20.120481806450865,20.79252399999995
rep01-run003,1,3,shared_prefix_out32_n4,shared_prefix,4,32,225,228,226.5,906,1034,694.341264000002,128,184.34739030575554,65.881945000001,68.05813600001898,691.6518499999995,694.0344019999998,20.14999519354796,20.829313161290347
rep02-run004,2,4,shared_prefix_out32_n4,shared_prefix,4,32,225,228,226.5,906,1034,689.9824799999976,128,185.51195676736668,65.73776599998382,67.7773660000014,687.2384829999874,689.5451050000077,20.016245354838702,20.70468545161288
rep02-run005,2,5,shared_prefix_out32_n8,shared_prefix,8,32,224,228,225.5,1804,2043,697.1125449999818,239,342.8427758390236,67.172993000014,71.92501099999049,692.2109999999861,696.7400929999883,20.1155234193548,20.946248214284783
rep00-run006,0,6,shared_prefix_out32_n8,shared_prefix,8,32,224,228,225.5,1804,2043,674.2421670000169,239,354.472045353393,64.66267900000844,68.62415399999122,669.651593999987,673.9006929999789,19.48495064516098,20.252330428572154
rep01-run007,1,7,shared_prefix_out32_n1,shared_prefix,1,32,226,226,226.0,226,258,641.7943369999932,32,49.86020934616059,41.890992999981336,41.890992999981336,641.6126350000013,641.6126350000013,19.345859419355484,19.345859419355484
rep01-run008,1,8,shared_prefix_out32_n8,shared_prefix,8,32,224,228,225.5,1804,2043,742.1569149999812,239,322.03432342876715,75.89391700000192,80.56976000000304,737.2789240000088,741.7877070000145,21.288462645161086,22.052500785715015
rep02-run009,2,9,shared_prefix_out32_n1,shared_prefix,1,32,226,226,226.0,226,258,674.1753910000057,32,47.46539317095858,43.940544000008686,43.940544000008686,673.9802840000095,673.9802840000095,20.323862580645187,20.323862580645187
rep00-run010,0,10,shared_prefix_out32_n1,shared_prefix,1,32,226,226,226.0,226,258,724.6803110000144,32,44.15740225623346,44.32251099999007,44.32251099999007,724.4778519999784,724.4778519999784,21.940494870967363,21.940494870967363
rep00-run011,0,11,shared_prefix_out32_n2,shared_prefix,2,32,226,227,226.5,453,517,695.8140190000108,64,91.97860096578336,47.4978419999843,68.6721160000161,694.2927030000021,695.5878759999905,20.181309258064065,20.90613012903246
