run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep02-run000,2,0,shared_prefix_out32_n2,shared_prefix,2,32,226,227,226.5,453,517,1262.7551150000045,64,50.682827762689186,47.91011800000433,68.1888889999982,1261.0976400000027,1262.4852499999974,38.48092745161305,39.17984296774171
rep00-run001,0,1,shared_prefix_out32_n4,shared_prefix,4,32,225,228,226.5,906,1034,678.7558629999921,128,188.58032317284233,65.70941900000093,67.78444200000422,676.0679820000064,678.4469630000274,19.65619290322615,20.372901838709918
rep01-run002,1,2,shared_prefix_out32_n2,shared_prefix,2,32,226,227,226.5,453,517,690.8401690000119,64,92.64082036897148,52.678487000008545,89.66375499997525,689.0819759999829,690.5381560000023,19.336071645161535,20.57611835483851
rep01-run003,1,3,shared_prefix_out32_n4,shared_prefix,4,32,225,228,226.5,906,1034,666.7012380000017,128,191.99004397228924,64.4461870000157,66.51174399999604,663.962755,666.3825459999941,19.307139096774275,19.987780419354852
rep02-run004,2,4,shared_prefix_out32_n4,shared_prefix,4,32,225,228,226.5,906,1034,649.0227070000003,128,197.2196020562343,61.97098900000242,64.18499699998392,646.050291999984,648.7345600000083,18.80649783870944,19.45306832258101
rep02-run005,2,5,shared_prefix_out32_n8,shared_prefix,8,32,224,228,225.5,1804,2043,657.1941629999856,239,363.6672591688938,61.30673699999534,65.17492099999345,652.5088709999807,656.7988509999907,19.040966225806105,19.69613980645132
rep00-run006,0,6,shared_prefix_out32_n8,shared_prefix,8,32,224,228,225.5,1804,2043,689.8781769999971,239,346.43797697633363,64.15891399998941,69.13786499998764,684.0095690000112,689.4914540000059,19.963256967741927,20.66539180645115
rep01-run007,1,7,shared_prefix_out32_n1,shared_prefix,1,32,226,226,226.0,226,258,645.6937600000003,32,49.559097489187415,39.56963100000621,39.56963100000621,645.4921680000041,645.4921680000041,19.545888290322512,19.545888290322512
rep01-run008,1,8,shared_prefix_out32_n8,shared_prefix,8,32,224,228,225.5,1804,2043,702.8559160000043,239,340.0412439581693,77.46151800000689,82.76250299999788,697.2034519999966,702.1339300000022,19.93986880645131,20.86112114285754
rep02-run009,2,9,shared_prefix_out32_n1,shared_prefix,1,32,226,226,226.0,226,258,624.9246529999937,32,51.20617317044832,42.39507999997727,42.39507999997727,624.7213549999913,624.7213549999913,18.78471854838755,18.78471854838755
rep00-run010,0,10,shared_prefix_out32_n1,shared_prefix,1,32,226,226,226.0,226,258,649.5632660000012,32,49.26386954892849,41.09077700002217,41.09077700002217,649.3430100000239,649.3430100000239,19.621039774193605,19.621039774193605
rep00-run011,0,11,shared_prefix_out32_n2,shared_prefix,2,32,226,227,226.5,453,517,677.5706370000023,64,94.45509664256566,48.15882199997645,67.53502099999764,675.843881999981,677.297947999989,19.622866483870432,20.294810516129438
