run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep00-run000,0,0,long_out32_n8,long,8,32,117,122,119.25,954,1210,937.233472999992,256,273.1443203586927,70.02818499998398,73.295145000003,933.1906319999916,936.7512050000073,27.818348258064464,28.206042096774162
rep02-run001,2,1,long_out16_n8,long,8,16,117,122,119.25,954,1082,427.80845900000486,128,299.19931994612233,91.02631100000735,95.10274499999127,421.13459799998054,426.8618760000038,21.954351399998966,23.86741660000098
rep01-run002,1,2,long_out32_n4,long,4,32,117,118,117.25,469,597,1048.1575780000014,128,122.11904267699701,316.98671800000966,319.00701499998263,1044.875501000007,1047.817321000025,23.448233838709506,24.377895516129264
rep00-run003,0,3,short_out16_n2,short,2,16,43,44,43.5,87,119,1160.740488000016,32,27.568608427829354,59.67206199997577,74.15933600000812,1159.6428690000096,1160.4786839999974,72.36556886666676,73.38710813333478
rep01-run004,1,4,short_out16_n8,short,8,16,43,48,45.25,362,490,422.4772059999964,128,302.97492546852595,84.92909299999951,88.00181000000862,418.70462899998984,422.068926999998,22.206393600000258,24.040904399998908
rep01-run005,1,5,short_out32_n8,short,8,32,43,48,45.25,362,618,841.0049789999903,256,304.39772223988575,83.71455299999297,86.3787349999825,837.918884000004,839.771202999998,24.304218516128397,24.89513216129023
rep01-run006,1,6,long_out16_n4,long,4,16,117,118,117.25,469,533,454.978772000004,64,140.66590341933454,105.85806700001399,107.58175499998401,452.27582199999006,454.47100800001294,23.042289333331684,24.968227266667025
rep00-run007,0,7,long_out16_n1,long,1,16,118,118,118.0,118,134,377.92947700000923,16,42.33594089301378,52.03719100001081,52.03719100001081,377.73820000001024,377.73820000001024,21.71340059999996,21.71340059999996
rep00-run008,0,8,long_out32_n1,long,1,32,118,118,118.0,118,150,754.1928159999998,32,42.42946806324394,65.3228029999866,65.3228029999866,753.9570049999895,753.9570049999895,22.214006516129125,22.214006516129125
rep02-run009,2,9,long_out32_n8,long,8,32,117,122,119.25,954,1210,906.0870669999872,256,282.5335548024146,87.6098660000082,118.47803000000567,900.1177769999913,902.6534270000184,26.258247225806674,26.45022864516114
