scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
short_out16_n1,short,1,16,44,44,44.0,44,60,966.1263090000034,16,16.560981572441523,642.4176509999882,642.4176509999882,965.840538000009,965.840538000009,21.56152580000139,21.56152580000139
short_out16_n2,short,2,16,43,44,43.5,87,119,468.84899099998734,32,68.25225310125678,73.25938799999676,87.1178440000051,467.5302590000001,468.52811900001257,25.360827666666335,26.351248733334387
short_out16_n4,short,4,16,43,44,43.25,173,237,445.33320700000445,64,143.7126156190714,98.60725900000489,101.08242600000494,443.34745099999395,444.81032499999174,22.857782266667453,24.13268959999944
short_out16_n8,short,8,16,43,48,45.25,362,490,409.0129049999973,128,312.94856087731716,93.00645900000859,95.86337900000785,405.5627150000021,408.5775879999858,20.77408060000039,22.33632526666535
short_out32_n1,short,1,32,44,44,44.0,44,76,658.9277050000248,32,48.563749493578804,42.20614500002284,42.20614500002284,658.7058110000044,658.7058110000044,19.887085999999403,19.887085999999403
short_out32_n2,short,2,32,43,44,43.5,87,151,696.0236150000014,64,91.95090313135405,47.03043099999604,66.47201200001973,694.9646320000227,695.7932500000084,20.273955483871063,20.92783287096814
short_out32_n4,short,4,32,43,44,43.25,173,301,720.1316759999941,128,177.74527113011072,67.18548899999632,68.19314099999474,718.4860719999904,719.8363550000124,20.994027967741285,21.67575232258129
short_out32_n8,short,8,32,43,48,45.25,362,618,730.9988900000235,256,350.20573013454475,68.16798200000562,70.24576099999535,728.2238840000161,730.6112750000011,21.275873483871568,21.967472290322306
long_out16_n1,long,1,16,118,118,118.0,118,134,333.5288400000138,16,47.97186354259301,43.64783200000488,43.64783200000488,333.32004700000084,333.32004700000084,19.31148099999973,19.31148099999973
long_out16_n2,long,2,16,117,118,117.5,235,267,358.93745699999613,32,89.1520218242376,46.44939299998896,65.6174730000032,357.5906830000122,358.6874229999921,19.464880666667266,20.815868666666876
long_out16_n4,long,4,16,117,118,117.25,469,533,589.2641439999977,64,108.61003618099025,281.3266859999999,282.95429599998556,587.1215159999963,588.9661799999999,20.331381666666932,21.79846520000031
long_out16_n8,long,8,16,117,122,119.25,954,1082,368.71558000001414,128,347.1510479703491,66.5608289999966,69.46894699999007,364.9819549999904,368.329435000021,19.84936806666724,21.304469066666343
long_out32_n1,long,1,32,118,118,118.0,118,150,660.3082560000075,32,48.46221398752227,43.11491299998238,43.11491299998238,660.0632800000028,660.0632800000028,19.90156022580711,19.90156022580711
long_out32_n2,long,2,32,117,118,117.5,235,299,691.833072999998,64,92.50786424892438,46.39593200002423,66.4163240000164,690.5193590000067,691.6024710000102,20.132355967741624,20.813114161289867
long_out32_n4,long,4,32,117,118,117.25,469,597,694.2628019999972,128,184.3682242967131,65.68823000000634,67.19995500000664,692.113575999997,693.9809719999914,20.184435129031666,20.857055225806583
long_out32_n8,long,8,32,117,122,119.25,954,1210,716.1338919999878,256,357.4750516066964,66.92115499998863,69.80101000002037,712.4068649999913,715.6415960000118,20.799243129032668,21.501295129032695
